Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
0.666666666666667,-90,-7,9,7,-72,90,30.6666666666667
1,-91,-7,2,14,-74,0,0
1,-91,-7,2,14,-74,10,13
1,-89,-9,3,10,-72,165,57
1,-89,-9,3,10,-72,6689,681
1,-84,-10,1,10,-67,17267,647
1,-84,-10,1,10,-67,28223,908
1,-85,-9,4,10,-67,27813,935
1,-85,-9,4,14,-69,15385,359
1,-90,-10,2,12,-73,17088,336
1,-90,-10,2,8,-71,13939,243
1,-87,-12,4,8,-71,11366,210
1,-87,-12,4,9,-69,24747,392
1,-82,-10,5,11,-69,30305,395
1,-82,-10,5,11,-69,14561,239
1,-86,-13,4,11,-69,8855,155
1,-86,-13,4,15,-61,0,0
1,-74,-11,24,10,-56,0,0
1,-74,-11,24,11,-69,0,0
1,-84,-13,9,11,-69,0,0
1,-84,-13,9,12,-67,0,0
1,-87,-9,10,10,-73,0,0
1,-87,-9,10,11,-70,0,0
1,-86,-9,3,12,-73,2,4
1,-86,-9,3,12,-73,0,0
1,-90,-13,2,12,-73,3,4
1,-90,-13,2,12,-73,2,3
1,-92,-10,-1,12,-73,38,17
1,-92,-10,-1,12,-73,2,2
1,-91,-10,-2,9,-75,0,0
1,-91,-10,-2,10,-73,0,0
1,-92,-10,0,10,-73,0,0
1,-92,-10,0,8,-76,0,0
8,-91,-9,3,8,-75,0,0
15,-91,-9,3,8,-74,0,0
15,-90,-10,2,8,-74,0,0
15,-90,-10,2,7,-76,0,0
15,-91,-12,-1,5,-74,0,0
15,-91,-12,-1,5,-74,0,0
15,-90,-14,1,5,-74,0,0
15,-80,-8,5,6,-76,5,6
15,-97,-15,1,6,-76,0,0
15,-97,-15,1,3,-82,2,4
15,-97,-15,1,3,-82,0,0
15,-97,-15,1,3,-82,0,0
45,-84,-8,4,10,-73,3,3
45,-97,-15,-5,5,-80,0,0
45,-97,-15,-5,5,-80,0,0
45,-98,-18,-13,5,-80,23,40
45,-98,-18,-13,2,-85,2,4
45,-99,-23,-11,1,-82,0,0
45,-99,-23,-11,1,-82,2,4
45,-86,-16,6,12,-71,0,0
43,-101,-17,-3,8,-86,0,0
43,-101,-17,-3,8,-86,0,0
28,-98,-22,-12,4,-85,0,0
28,-98,-22,-12,6,-83,0,0
28,-93,-13,-2,6,-83,0,0
28,-93,-13,-2,6,-86,0,0
28,-104,-21,-9,6,-86,0,0
28,-104,-21,-9,3,-84,2,4
28,-105,-22,-12,3,-84,0,0
28,-105,-22,-12,3,-84,0,0
28,-101,-22,-12,1,-92,2,4
28,-101,-22,-12,3,-84,0,0
28,-102,-17,-4,5,-86,0,0
28,-73,-11,18,2,-65,11,26
28,-73,-11,18,12,-58,9588,221
28,-75,-13,19,10,-60,0,0
28,-75,-13,19,13,-57,0,0
28,-74,-13,21,13,-57,0,0
28,-74,-13,21,12,-55,0,0
28,-74,-13,12,15,-57,2,4
28,-74,-13,12,9,-65,0,0
28,-84,-15,8,8,-67,2,4
28.5,-84,-15,8,8,-67,0,0
29,-82,-16,10,13,-65,2,4
29,-82,-16,10,13,-65,0,0
29,-83,-11,14,13,-65,0,0
29,-83,-11,14,14,-63,0,0
29,-78,-13,19,14,-63,0,0
29,-78,-13,19,10,-71,0,0
29,-87,-10,14,11,-68,1,0
29,-87,-10,14,13,-62,0,0
29,-84,-10,10,12,-69,0,0
29,-84,-10,10,12,-69,0,0
29,-89,-8,12,12,-69,0,0
29,-89,-8,12,10,-74,0,0
29,-91,-9,6,11,-71,15,26
29,-91,-9,6,11,-71,0,0
29,-90,-13,7,10,-74,0,0
29,-90,-13,7,11,-72,0,0
29,-89,-10,5,11,-72,2,4
29,-89,-10,5,10,-74,0,0
29,-90,-8,9,10,-74,2,4
29,-90,-8,9,10,-74,2,4
29,-90,-12,4,10,-74,0,0
29,-90,-12,4,10,-74,0,0
29,-91,-19,9,10,-74,0,0
29,-91,-19,9,10,-74,0,0
29,-93,-18,8,13,-77,0,0
29,-93,-18,8,13,-77,0,0
29,-87,-16,13,9,-74,0,0
29,-87,-16,13,6,-70,0,0
29,-90,-13,7,6,-70,0,0
29,-90,-13,7,11,-73,1816,40
18,-91,-14,6.5,9,-75,4997.5,84
18,-92,-15,6,12,-81,0,0
18,-99,-14,-3,12,-81,0,0
18,-99,-14,-3,8,-79,2,4
18,-96,-15,-4,12,-81,0,0
18,-96,-15,-4,14,-76,2,4
18,-93,-11,4,12,-80,0,0
18,-93,-11,4,12,-84,2,4
18,-100,-16,1,12,-84,33,18
18,-100,-16,1,14,-81,0,0
31,-94,-17,4,14,-80,0,0
44,-94,-17,4,14,-80,0,0
44,-95,-13,-1,13,-78,0,0
44,-95,-13,-1,13,-78,0,0
44,-99,-16,-8,8,-83,31,12
44,-99,-16,-8,10,-79,0,0
44,-96,-14,-9,10,-79,0,0
44.5,-96,-14,-9,11.5,-80.5,0,0
45,-99,-15,1,13,-82,0,0
45,-99,-15,1,9,-86,0,0
45,-104,-16,-6,5,-88,0,0
45,-104,-16,-6,6,-85,0,0
45,-104,-18,-8,6,-85,0,0
45,-104,-18,-8,6,-85,2,4
45,-103,-20,-13,9,-82,0,0
50,-106,-20,-13,6,-88,1,0
50,-106,-20,-13,2,-72,2,4
50,-85,-6,3,2,-72,0,0
50,-85,-6,3,6,-75,0,0
50,-93,-10,5,6,-75,0,0
50,-93,-10,5,6,-75,1,1
47.5,-101,-11,2,7.5,-80,0,0
45,-101,-11,2,8,-76,0,0
45,-87,-10,3,7,-72,0,0
45,-87,-10,3,7,-70,0,0
45,-91,-11,5,11,-73,16,1
45,-89,-13,2,8,-75,0,0
24,-89,-15,0,9,-72,3379,90
24,-89,-15,0,6,-74,6011,117
24,-88,-14,0,6,-71,1422,30
24,-88,-14,0,5,-74,0,0
24,-91,-15,1,5,-74,2,4
24,-91,-15,1,7,-76,0,0
24,-93,-14,0,7,-76,0,0
24,-93,-14,0,7,-76,0,0
24,-93,-16,-1,7,-76,0,0
24,-92,-16,0,6,-74,0,0
24,-91,-15,2,6,-74,0,0
24,-91,-15,2,6,-74,0,0
24,-92,-16,3,6,-74,0,0
24,-92,-16,3,6,-74,0,0
24,-91,-15,0,6,-74,0,0
24,-91,-15,0,6,-74,0,0
24,-93,-13,1,6,-74,0,0
24,-93,-13,1,6,-74,0,0
24,-92,-14,1,6,-74,0,0
24,-92,-14,1,6,-74,0,0
24,-92,-14,0,6,-74,0,0
24,-92,-14,0,6,-74,0,0
24,-92,-14,-3,6,-74,0,0
24,-92,-14,-3,6,-74,0,0
24,-92,-12,0,6,-74,2,4
24,-92,-12,0,6,-74,0,0
24,-91,-12,-6,6,-74,4,6
24,-91,-12,-6,6,-74,0,0
24,-92,-13,-7,6,-74,853,22
24,-92,-13,-7,6,-74,0,0
24,-91,-16,-10,6,-74,0,0
24,-91,-16,-10,6,-74,2,1
24,-91,-15,-9,6,-74,0,0
24,-91,-15,-9,6,-74,0,0
24,-91,-14,-4,6,-74,15,27
24,-91,-14,-4,6,-74,0,2
24,-91,-15,-6,6,-74,0,0
24,-91,-15,-6,6,-74,0,0
24,-92,-13,-7,6,-74,0,0
24,-92,-13,-7,6,-74,0,0
24,-91,-13,-7,6,-74,0,0
24,-91,-13,-7,6,-74,0,0
24,-91,-12,-8,6,-74,0,0
24,-91,-12,-8,6,-74,14,6
24,-91,-12,-5,6,-74,0,0
24,-91,-12,-5,6,-74,2,4
24,-92,-13,-7,6,-74,0,0
24,-92,-13,-7,6,-74,2,4
24,-92,-15,-3,6,-74,0,0
24,-92,-15,-3,6,-74,0,0
24,-92,-14,-3,8,-76,0,0
24,-92,-14,-3,11,-85,0,0
24,-97,-14,-10,9,-83,0,0
24,-97,-14,-10,8,-86,0,0
24,-89,-11,1,10,-75,0,0
24,-89,-11,1,11,-67,0,0
24,-86,-6,2,7,-79,0,0
24,-95,-12,2,7,-79,0,0
24,-98,-17,-13,3,-84,2,4
37,-101,-17,-12,3,-84,0,0
50,-101,-17,-12,4,-81,2,4
50,-100,-17,-7,3,-83,0,0
50,-100,-17,-7,3,-87,2,4
50,-104,-20,-14,3,-87,0,0
50,-104,-20,-14,3,-87,0,0
50.5,-102,-21,-9,2,-85,0,0
51,-102,-21,-9,2,-85,0,0
51,-83,-7,9,6,-66,0,0
51,-83,-7,9,6,-66,0,0
51,-80,-7,8,6,-63,0,0
51,-80,-7,8,6,-63,0,0
51,-79,-7,21,6,-60,0,0
51,-76,-9,16,6,-60,0,0
51,-76,-9,16,6,-60,0,0
17,-75,-9.5,16,6,-58,0,0
17,-74,-10,16,6,-58,0,0
17,-75,-8,12,6,-58,0,0
17,-75,-8,12,10,-56,3,2
17,-73,-10,2,13,-58,3,5
17,-73,-10,2,15,-54,0,0
17,-68,-7,24,15,-61,2,4
17,-68,-7,24,15,-59,0,0
17,-69,-8,13,15,-52,0,0
17,-69,-8,13,15,-52,0,0
17,-68,-7,14,15,-52,15,27
17,-68,-7,14,14,-61,0,0
17,-69,-7,18,15,-52,0,0
17,-69,-7,18,15,-61,0,0
17,-70,-8,16,15,-61,2,4
17,-70,-8,16,15,-61,0,0
17,-67,-8,20,15,-61,2,4
17,-67,-8,20,15,-58,0,0
17,-70,-8,16,15,-58,2,4
17,-70,-8,16,12,-62,0,0
17,-71,-8,6,15,-60,0,0
17,-71,-8,6,15,-60,0,0
17,-72,-9,17,15,-49,0,0
17,-72,-9,17,15,-57,0,0
17,-70,-8,14,15,-57,0,0
17,-70,-8,14,15,-51,0,0
17,-59,-7,27,15,-46,0,0
17,-59,-7,27,15,-43,0,0
23,-53,-7,27,15,-40,0,0
29,-53,-7,27,15,-37,0,0
29,-62,-9,16,15,-47,0,0
29,-62,-9,16,15,-47,0,0
29,-59,-14,17,15,-44,0,0
29,-59,-14,17,13,-53,0,0
29,-63,-10,16,13,-53,2,4
29,-63,-10,16,15,-45,2,4
29,-60,-9,6,15,-51,0,0
29,-60,-9,6,15,-53,2,4
29,-61,-10,17,15,-53,0,0
29,-61,-10,17,13,-49,0,0
29,-63,-8,7,13,-57,0,0
29,-63,-8,7,12,-50,0,0
29,-70,-13,-1,13,-61,0,0
24.5,-70,-13,-1,12,-56,0,0
20,-68,-11,-5,6,-63,0,0
20,-68,-11,-5,11,-52,0,0
20,-64,-10,5,15,-54,0,0
20,-64,-10,5,15,-54,0,0
20,-61,-12,10,15,-54,0,0
20,-61,-12,10,14,-50,0,0
20,-58,-8,19,13,-46,0,0
20,-58,-8,19,15,-51,0,0
20,-61,-9,14,15,-53,0,0
20,-61,-9,14,12,-51,2,4
20,-62,-8,5,12,-51,0,0
20,-62,-8,5,12,-51,2,4
20,-62,-8,12,12,-51,0,0
20,-62,-8,12,12,-51,2,30
20,-60,-8,18,12,-53,18,1
20,-60,-8,18,11,-50,0,0
20,-62,-8,20,11,-50,0,0
20,-62,-8,20,12,-52,0,0
20,-60,-10,3,12,-52,0,0
20,-60,-10,3,15,-54,0,0
20,-60,-9,1,15,-54,0,0
20,-60,-9,1,15,-54,0,0
20,-59,-9,14,15,-54,0,0
20,-59,-9,14,15,-54,0,0
20,-59,-8,6,14,-42,0,0
20,-59,-8,6,12,-50,0,0
20,-59,-8,14,12,-50,0,0
20,-59,-8,14,12,-50,0,0
20,-58,-8,7,10,-54,0,0
20,-58,-8,7,10,-54,2,4
20,-59,-7,15,10,-50,2,4
20,-59,-7,15,12,-52,0,0
20,-59,-9,6,15,-49,2,4
20,-59,-9,6,15,-49,0,0
20,-58,-7,15,15,-49,0,0
20,-58,-7,15,15,-49,0,0
20,-59,-8,13,15,-49,0,0
20,-59,-8,13,15,-49,0,0
20,-60,-8,12,15,-49,0,0
20,-60,-8,12,15,-49,0,0
20,-59,-9,12,15,-49,0,0
20,-59,-9,12,15,-49,0,0
20,-60,-10,11,11,-53,0,0
20,-60,-10,11,12,-41,0,0
20,-60,-11,16,12,-50,0,0
20,-60,-11,16,12,-50,2,17
20,-59,-7,20,15,-52,7094,199
20,-59,-7,20,15,-54,1524,21
18,-57,-7,20,15,-54,2,4
16,-57,-7,20,15,-54,0,0
16,-56,-7,18,14,-48,2,4
16,-56,-7,18,15,-50,0,0
16,-56,-9,14,15,-50,2,4
16,-56,-9,14,15,-50,0,0
16,-58,-9,7,15,-50,0,0
16,-58,-9,7,14,-48,0,0
16,-55,-8,11,12,-45,0,0
