Timestamp,Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
21-Nov-2019 15:38:36,0.666666666666667,-90,-7,9,7,-72,90,30.6666666666667
21-Nov-2019 15:38:37,1,-91,-7,2,14,-74,0,0
21-Nov-2019 15:38:39,1,-91,-7,2,14,-74,10,13
21-Nov-2019 15:38:40,1,-89,-9,3,10,-72,165,57
21-Nov-2019 15:38:41,1,-89,-9,3,10,-72,6689,681
21-Nov-2019 15:38:42,1,-84,-10,1,10,-67,17267,647
21-Nov-2019 15:38:43,1,-84,-10,1,10,-67,28223,908
21-Nov-2019 15:38:44,1,-85,-9,4,10,-67,27813,935
21-Nov-2019 15:38:45,1,-85,-9,4,14,-69,15385,359
21-Nov-2019 15:38:46,1,-90,-10,2,12,-73,17088,336
21-Nov-2019 15:38:47,1,-90,-10,2,8,-71,13939,243
21-Nov-2019 15:38:48,1,-87,-12,4,8,-71,11366,210
21-Nov-2019 15:38:49,1,-87,-12,4,9,-69,24747,392
21-Nov-2019 15:38:50,1,-82,-10,5,11,-69,30305,395
21-Nov-2019 15:38:51,1,-82,-10,5,11,-69,14561,239
21-Nov-2019 15:38:52,1,-86,-13,4,11,-69,8855,155
21-Nov-2019 15:38:53,1,-86,-13,4,15,-61,0,0
21-Nov-2019 15:38:54,1,-74,-11,24,10,-56,0,0
21-Nov-2019 15:38:56,1,-74,-11,24,11,-69,0,0
21-Nov-2019 15:38:57,1,-84,-13,9,11,-69,0,0
21-Nov-2019 15:38:58,1,-84,-13,9,12,-67,0,0
21-Nov-2019 15:38:59,1,-87,-9,10,10,-73,0,0
21-Nov-2019 15:39:00,1,-87,-9,10,11,-70,0,0
21-Nov-2019 15:39:01,1,-86,-9,3,12,-73,2,4
21-Nov-2019 15:39:02,1,-86,-9,3,12,-73,0,0
21-Nov-2019 15:39:03,1,-90,-13,2,12,-73,3,4
21-Nov-2019 15:39:04,1,-90,-13,2,12,-73,2,3
21-Nov-2019 15:39:05,1,-92,-10,-1,12,-73,38,17
21-Nov-2019 15:39:06,1,-92,-10,-1,12,-73,2,2
21-Nov-2019 15:39:07,1,-91,-10,-2,9,-75,0,0
21-Nov-2019 15:39:08,1,-91,-10,-2,10,-73,0,0
21-Nov-2019 15:39:09,1,-92,-10,0,10,-73,0,0
21-Nov-2019 15:39:11,1,-92,-10,0,8,-76,0,0
21-Nov-2019 15:39:12,8,-91,-9,3,8,-75,0,0
21-Nov-2019 15:39:13,15,-91,-9,3,8,-74,0,0
21-Nov-2019 15:39:14,15,-90,-10,2,8,-74,0,0
21-Nov-2019 15:39:15,15,-90,-10,2,7,-76,0,0
21-Nov-2019 15:39:16,15,-91,-12,-1,5,-74,0,0
21-Nov-2019 15:39:17,15,-91,-12,-1,5,-74,0,0
21-Nov-2019 15:39:18,15,-90,-14,1,5,-74,0,0
21-Nov-2019 15:39:23,15,-80,-8,5,6,-76,5,6
21-Nov-2019 15:39:24,15,-97,-15,1,6,-76,0,0
21-Nov-2019 15:39:26,15,-97,-15,1,3,-82,2,4
21-Nov-2019 15:39:27,15,-97,-15,1,3,-82,0,0
21-Nov-2019 15:39:28,15,-97,-15,1,3,-82,0,0
