Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
1,-92,-15,-2,11,-72,0,2
1,-93,-13,-9,7,-70,0,0
1,-93,-13,-9,7,-70,0,0
1,-93,-14,-9,7,-70,17,29
1,-93,-14,-9,7,-70,170,76
1,-91,-11,5,7,-70,11,1
1,-91,-11,5,15,-72,611,356
1,-94,-12,-2,15,-72,0,0
1,-94,-12,-2,12,-70,499,17
1,-94,-11,-1,12,-70,273,41
1,-94,-11,-1,12,-70,0,0
1,-93,-15,-8,9,-75,0,35
1,-93,-15,-8,9,-71,68172,633
1,-93,-13,-1,9,-71,19106,100
1,-93,-13,-1,9,-71,1,1
1,-92,-12,0,9,-71,0,0
1,-92,-12,0,9,-71,0,1
1,-90,-15,-3,9,-71,14690,218
1,-90,-15,-3,12,-69,2,1
1,-93,-17,3,12,-69,0,0
1,-93,-17,3,12,-71,0,1
1,-94,-19,-10,12,-71,0,0
1,-94,-19,-10,12,-71,7,6
1,-95,-14,-3,11,-69,2,0
1,-95,-14,-3,11,-69,2,4
1,-94,-12,1,11,-69,0,0
1,-94,-12,1,11,-69,2,4
1,-93,-12,1,11,-69,0,0
1,-93,-12,1,11,-69,2,4
1,-92,-14,3,11,-69,0,0
1,-92,-14,3,12,-71,0,0
1,-93,-15,-9,12,-71,0,0
1,-93,-15,-9,12,-71,0,0
1,-92,-13,-5,12,-71,0,0
1,-92,-13,-5,12,-71,0,0
1,-92,-18,4,12,-71,0,0
1,-92,-18,4,12,-71,0,0
1,-94,-16,-8,12,-71,0,0
1,-94,-16,-8,12,-74,0,0
1,-95,-16,-3,9,-70,3,3
1,-95,-16,-3,9,-70,0,0
1,-93,-14,-9,9,-70,0,0
1,-93,-14,-9,9,-70,0,0
1,-94,-13,2,9,-70,2,5
1,-94,-13,2,9,-70,0,0
1,-92,-12,-1,9,-70,2,4
1,-92,-12,-1,9,-70,0,0
1,-93,-12,-10,9,-70,2,4
1,-93,-12,-10,9,-70,0,0
1,-94,-13,-7,9,-70,0,0
1,-94,-13,-7,9,-70,0,0
1,-93,-16,1,9,-70,1,0
1,-93,-16,1,9,-70,3,2
1,-95,-15,-5,9,-70,0,0
1,-95,-15,-5,9,-70,0,0
1,-92,-16,-7,9,-70,18329,89
1,-92,-16,-7,12,-72,1,1
1,-91,-12,4,12,-72,0,0
1,-91,-12,4,12,-72,0,0
1,-95,-12,-12,12,-70,0,0
1,-95,-12,-12,12,-70,19,55
1,-93,-14,-4,12,-70,0,0
1,-93,-14,-4,12,-70,0,0
1,-94,-14,-3,12,-70,2,5
1,-94,-14,-3,8,-72,1,1
1,-94,-17,0,8,-72,4,6
1,-94,-17,0,8,-72,0,0
1,-93,-12,-1,8,-72,2,4
1,-93,-12,-1,12,-70,15,26
1,-92,-12,1,12,-70,0,0
1,-92,-12,1,12,-72,0,0
1,-93,-15,1,12,-72,0,0
1,-93,-15,1,12,-74,4,10
1,-92,-13,1,9,-71,1,1
1,-92,-13,1,9,-71,0,0
1,-91,-13,-10,9,-71,0,0
1,-91,-13,-10,9,-71,0,0
1,-92,-13,2,9,-71,0,0
1,-92,-13,2,9,-71,0,0
1,-92,-13,3,9,-71,0,0
1,-92,-13,3,9,-71,0,0
1,-92,-13,-2,9,-71,0,0
1,-92,-13,-2,9,-71,0,0
1,-94,-13,-3,9,-71,0,0
1,-94,-13,-3,9,-71,2,4
1,-94,-14,-1,9,-71,0,0
1,-94,-14,-1,12,-73,2,4
1,-93,-13,-3,12,-70,0,0
1,-93,-13,-3,12,-72,0,0
1,-93,-12,-2,12,-72,0,0
1,-93,-12,-2,12,-70,0,0
1,-93,-12,5,12,-70,0,0
1,-93,-12,5,12,-70,0,0
1,-94,-16,-2,12,-73,0,0
1,-94,-16,-2,14,-71,0,0
1,-93,-16,-1,14,-71,0,0
1,-93,-16,-1,6,-74,0,0
1,-95,-15,-2,7,-72,19088,133
1,-95,-15,-2,7,-72,0,0
1,-93,-17,-1,7,-72,0,0
1,-93,-17,-1,14,-74,0,0
1,-92,-15,-4,14,-74,0,0
1,-92,-15,-4,14,-74,2,4
1,-90,-14,-8,15,-72,0,0
1,-90,-14,-8,15,-72,2,4
1,-89,-12,1,15,-72,0,0
1,-89,-12,1,15,-70,2,4
1,-93,-12,-4,15,-70,0,0
1,-93,-12,-4,15,-70,0,0
1,-92,-12,3,15,-70,0,0
1,-92,-12,3,15,-70,0,0
1,-93,-14,0,15,-70,0,2
1,-91,-12,2,15,-72,27,26
1,-91,-11,0,15,-72,1,0
1,-91,-11,0,15,-72,0,0
1,-92,-11,4,15,-72,0,0
1,-92,-11,4,15,-72,0,0
1,-94,-13,1,15,-72,0,0
1,-94,-13,1,15,-72,0,0
1,-92,-18,-1,15,-72,17,31
1,-92,-18,-1,15,-72,0,0
1,-91,-15,5,15,-72,2,5
1,-91,-15,5,15,-72,0,0
1,-91,-16,0,15,-72,0,0
1,-91,-16,0,15,-72,0,0
1,-92,-12,-11,15,-72,0,0
1,-92,-12,-11,15,-72,0,0
1,-91,-10,-1,15,-72,0,0
1,-91,-10,-1,15,-72,0,0
1,-92,-14,-1,15,-72,0,0
1,-92,-14,-1,15,-72,0,0
1,-92,-15,-11,12,-75,0,0
1,-92,-15,-11,9,-72,0,0
1,-92,-13,2,9,-72,0,0
1,-92,-13,2,9,-72,0,0
1,-91,-12,6,15,-70,13226,77
1,-91,-12,6,15,-70,0,0
1,-93,-17,-10,15,-70,2,4
1,-93,-17,-10,15,-70,0,0
1,-93,-16,-2,8,-72,2,4
1,-93,-16,-2,8,-72,0,0
1,-91,-11,-1,8,-72,2,4
1,-91,-11,-1,8,-72,0,0
1,-92,-11,2,8,-72,0,0
1,-92,-11,2,8,-72,0,0
1,-93,-11,2,8,-72,0,0
1,-93,-11,2,8,-72,0,0
1,-93,-16,-3,8,-72,0,0
1,-93,-16,-3,8,-72,0,0
1,-93,-15,3,8,-72,0,0
1,-93,-15,3,8,-72,0,0
1,-93,-16,-5,8,-72,0,0
1,-93,-16,-5,13,-76,0,0
1,-92,-12,-9,8,-71,0,0
1,-92,-12,-9,8,-71,0,0
1,-89,-11,6,8,-71,0,0
1,-89,-11,6,8,-71,0,0
1,-91,-14,-1,13,-73,2,4
1,-91,-14,-1,11,-71,0,0
1,-92,-15,2,11,-71,1,1
1,-92,-15,2,11,-71,2,5
1,-91,-14,-1,11,-71,0,0
1,-91,-14,-1,11,-71,0,0
1,-93,-16,-3,11,-71,0,0
1,-93,-16,-3,11,-71,0,0
1,-93,-15,-5,11,-71,0,0
1,-93,-15,-5,11,-71,0,0
1,-92,-13,1,11,-71,0,0
1,-92,-13,1,9,-73,0,0
1,-91,-16,3,9,-73,0,0
1,-91,-16,3,12,-71,0,0
1,-90,-15,-7,11,-73,0,0
1,-90,-15,-7,15,-71,1,0
1,-90,-14,-2,15,-71,0,0
1,-90,-14,-2,15,-71,0,0
1,-92,-10,2,15,-71,15,27
1,-92,-10,2,15,-71,2,4
1,-91,-11,4,15,-71,25914,151
1,-91,-11,4,14,-73,2,4
1,-91,-11,2,14,-73,0,0
1,-91,-11,2,14,-73,2,4
1,-91,-11,2,14,-73,0,0
